species,method,p_hat,lcl,ucl,n_sites,n_rep,AIC,any_se_bad
Amara lunicollis,Pitfall2,0.16724873355376474,0.022073390916022846,0.6411953390455847,7,6,NA,TRUE
Amara lunicollis,GPD,0.2677771786755503,0.06553927040592794,0.6559868317819705,7,6,NA,TRUE
Amara similata,Pitfall10,0.9999991591517543,1.8029721565388855e-278,1,11,6,NA,TRUE
Amara similata,Pitfall8,0.8128939690112188,0.4817792360742823,0.9530581256463427,11,6,NA,TRUE
Amara similata,Pitfall6,0.7096594412309909,0.37715837010250314,0.9079692993031693,11,6,NA,TRUE
Amara similata,Pitfall4,0.44537194567522154,0.19394774894063124,0.7282543556871753,11,6,NA,TRUE
Amara similata,Pitfall2,0.35791009173247385,0.13927078140220042,0.6575661362381204,11,6,NA,TRUE
Amara similata,GPD,0.728864819538482,0.4156263108308325,0.9103972981076902,11,6,NA,TRUE
Anchomenus dorsalis,Pitfall10,0.9999763495136624,3.1321264736857076e-30,1,26,6,NA,TRUE
Anchomenus dorsalis,Pitfall8,0.9618942237467972,0.7734361348917234,0.9946710666162011,26,6,NA,TRUE
Anchomenus dorsalis,Pitfall6,0.841666544316416,0.6459537804582659,0.9393495580221332,26,6,NA,TRUE
Anchomenus dorsalis,Pitfall4,0.7496111943178032,0.5504017701165704,0.8798261961129012,26,6,NA,TRUE
Anchomenus dorsalis,Pitfall2,0.6876296518459765,0.48429611708503695,0.8376652500564477,26,6,NA,TRUE
Anchomenus dorsalis,GPD,0.8156311193122112,0.6232228035707988,0.9220690726238591,26,6,NA,TRUE
Anisodactylus binotatus,Pitfall10,0.9999969422692515,1.518965608569195e-185,1,7,6,NA,TRUE
Anisodactylus binotatus,Pitfall8,0.8484180551102486,0.3979624916969589,0.9793354844546914,7,6,NA,TRUE
Anisodactylus binotatus,Pitfall6,0.8522782657769642,0.40804194578775455,0.9797120441508761,7,6,NA,TRUE
Anisodactylus binotatus,Pitfall4,0.6971720641466849,0.29964162651437204,0.9253070501794185,7,6,NA,TRUE
Anisodactylus binotatus,Pitfall2,0.38784838600592264,0.10274327927966291,0.7780567272121782,7,6,NA,TRUE
Anisodactylus binotatus,GPD,0.5003231935597655,0.16808636436518964,0.8322748713545426,7,6,NA,TRUE
Asaphidion stierlini,Pitfall10,0.9999954235805371,1.6933950793382254e-110,1,12,6,NA,TRUE
Asaphidion stierlini,Pitfall8,0.8332286072210384,0.5225336196308189,0.9579997751732929,12,6,NA,TRUE
Asaphidion stierlini,Pitfall6,0.5858433947416367,0.30873057964235867,0.8175263458809363,12,6,NA,TRUE
Asaphidion stierlini,Pitfall4,0.496452938056898,0.23903711818852397,0.7557629988595569,12,6,NA,TRUE
Asaphidion stierlini,Pitfall2,0.32744983231726676,0.1234246440837837,0.6273601041820762,12,6,NA,TRUE
Asaphidion stierlini,GPD,0.4995014093305536,0.24343628846384877,0.7558283359724907,12,6,NA,TRUE
Badister bullatus,Pitfall10,0.9999906982127379,2.575623271191209e-95,1,8,6,NA,TRUE
Badister bullatus,Pitfall8,0.9999909063522558,1.6395504167005623e-95,1,8,6,NA,TRUE
Badister bullatus,Pitfall6,0.7568901913377295,0.38279655911425936,0.9398627801541837,8,6,NA,TRUE
Badister bullatus,Pitfall4,0.7431152155095158,0.36631144922943376,0.9353855371431062,8,6,NA,TRUE
Badister bullatus,Pitfall2,0.480840655459655,0.18008212822784164,0.7961561901419142,8,6,NA,TRUE
Badister bullatus,GPD,0.24412000388331295,0.0605628665172066,0.6180202319758121,8,6,NA,TRUE
Bembidion lampros,Pitfall10,0.9999935080872155,6.754279269424254e-65,1,23,6,NA,TRUE
Bembidion lampros,Pitfall8,0.9571913986877701,0.7504280314129156,0.9940217560182522,23,6,NA,TRUE
Bembidion lampros,Pitfall6,0.8328437165549942,0.6266437469031162,0.936670984863216,23,6,NA,TRUE
Bembidion lampros,Pitfall4,0.6465665841404937,0.4354137493837607,0.8127164627264045,23,6,NA,TRUE
Bembidion lampros,Pitfall2,0.46245573528432476,0.27215224447817316,0.6643655129953402,23,6,NA,TRUE
Bembidion lampros,GPD,0.6466163468321188,0.4357158608397585,0.8125956834988552,23,6,NA,TRUE
Bembidion lunulatum,Pitfall10,0.9999986317116917,5.49796023782668e-193,1,13,6,NA,TRUE
Bembidion lunulatum,Pitfall8,0.9999986472067908,3.567227035322741e-194,1,13,6,NA,TRUE
Bembidion lunulatum,Pitfall6,0.9250399143948139,0.614497941710488,0.9896411704170488,13,6,NA,TRUE
Bembidion lunulatum,Pitfall4,0.7029621159773591,0.41487307395250195,0.8876284841102384,13,6,NA,TRUE
Bembidion lunulatum,Pitfall2,0.24774544609697063,0.07877986985521154,0.5591456783139434,13,6,NA,TRUE
Bembidion lunulatum,GPD,0.400067967251308,0.1732863778684612,0.6796467581314855,13,6,NA,TRUE
Bembidion obtusum,Pitfall10,0.9999926673492564,3.282299866766925e-57,1,11,6,NA,TRUE
Bembidion obtusum,Pitfall8,0.7868216069626159,0.45690866588006673,0.9418345675697909,11,6,NA,TRUE
Bembidion obtusum,Pitfall6,0.6758364278133443,0.35745554415964476,0.8865354514423374,11,6,NA,TRUE
Bembidion obtusum,Pitfall4,0.4185357349212742,0.1666694562105418,0.7214857379470169,11,6,NA,TRUE
Bembidion obtusum,Pitfall2,0.11152477160413658,0.015479581905833114,0.5005281774385794,11,6,NA,TRUE
Bembidion obtusum,GPD,0.3224838917585856,0.10846603839414252,0.6506155753968672,11,6,NA,TRUE
Bembidion properans,Pitfall10,0.9999991255757196,2.3296841757105973e-167,1,25,6,NA,TRUE
Bembidion properans,Pitfall8,0.9256144350641616,0.7435951799548097,0.9816147911206934,25,6,NA,TRUE
Bembidion properans,Pitfall6,0.8457560520933439,0.6508839522678466,0.9416109652738126,25,6,NA,TRUE
Bembidion properans,Pitfall4,0.7480454705837132,0.5449431935104051,0.8803944678410591,25,6,NA,TRUE
Bembidion properans,Pitfall2,0.5647724359186714,0.36312815899228257,0.7470462288652625,25,6,NA,TRUE
Bembidion properans,GPD,0.7458929173324282,0.5438679012498273,0.8784388251611336,25,6,NA,TRUE
Bembidion quadrimaculatum,Pitfall10,0.9999998158869333,0,1,12,6,NA,TRUE
Bembidion quadrimaculatum,Pitfall8,0.9164549628136311,0.5835076905750634,0.9884911627800609,12,6,NA,TRUE
Bembidion quadrimaculatum,Pitfall6,0.749760277707223,0.4469599610749366,0.917407262091431,12,6,NA,TRUE
Bembidion quadrimaculatum,Pitfall4,0.7492122245221327,0.4376409578152729,0.9197955274134374,12,6,NA,TRUE
Bembidion quadrimaculatum,Pitfall2,0.49875654287834803,0.23163519132991103,0.766589593266894,12,6,NA,TRUE
Bembidion quadrimaculatum,GPD,0.6663222127890177,0.3741499311660701,0.8696252424635109,12,6,NA,TRUE
Brachinus sclopeta,Pitfall10,0.9999999881378318,0,1,7,6,NA,TRUE
Brachinus sclopeta,Pitfall8,0.9230705912135247,0.3415040154258651,0.9964108130860607,7,6,NA,TRUE
Brachinus sclopeta,Pitfall6,0.5533057188927902,0.12206925773824012,0.9169074626463968,7,6,NA,TRUE
Brachinus sclopeta,Pitfall4,0.7032870410920102,0.227474774252428,0.9501984685448218,7,6,NA,TRUE
Brachinus sclopeta,Pitfall2,0.4374836641617299,0.12204037322299949,0.8131314074627567,7,6,NA,TRUE
Brachinus sclopeta,GPD,0.8770481052034521,0.4373264322062318,0.9849551012466643,7,6,NA,TRUE
Calathus fuscipes,Pitfall10,0.9999861749090455,1.1635733083514005e-61,1,9,6,NA,TRUE
Calathus fuscipes,Pitfall8,0.9999907481120758,5.030053479488839e-80,1,9,6,NA,TRUE
Calathus fuscipes,Pitfall6,0.9999963228327593,1.7969700852757468e-132,1,9,6,NA,TRUE
Calathus fuscipes,Pitfall4,0.9112339160156002,0.5415915717410201,0.9889130577588153,9,6,NA,TRUE
Calathus fuscipes,Pitfall2,0.28614247052309616,0.06864375568970861,0.6855345196158323,9,6,NA,TRUE
Calathus fuscipes,GPD,0.6213597066376089,0.28009082255192275,0.8737641083820064,9,6,NA,TRUE
Carabus auratus,Pitfall10,0.9999958606640401,1.4868729583119212e-121,1,10,6,NA,TRUE
Carabus auratus,Pitfall8,0.9999965261604246,1.6290412463201326e-132,1,10,6,NA,TRUE
Carabus auratus,Pitfall6,0.9137316164742006,0.5632288836586081,0.9886359425896765,10,6,NA,TRUE
Carabus auratus,Pitfall4,0.7079895327787618,0.3827457719645428,0.9045805838931659,10,6,NA,TRUE
Carabus auratus,Pitfall2,0.35066998350772577,0.11835337921071869,0.6848012768639827,10,6,NA,TRUE
Carabus auratus,GPD,0.8031689454158969,0.46373953338947577,0.9506278224293532,10,6,NA,TRUE
Carabus nemoralis,Pitfall10,0.9999967840873578,9.491753974185098e-125,1,14,6,NA,TRUE
Carabus nemoralis,Pitfall8,0.9999969788502798,9.972620431857888e-128,1,14,6,NA,TRUE
Carabus nemoralis,Pitfall6,0.9999973159867604,7.696550290772798e-132,1,14,6,NA,TRUE
Carabus nemoralis,Pitfall4,0.8578422742199906,0.5735086551652364,0.9643871116947773,14,6,NA,TRUE
Carabus nemoralis,Pitfall2,0.7830209660628397,0.5000673467086258,0.9286707708345648,14,6,NA,TRUE
Carabus nemoralis,GPD,0.6977223554627323,0.41356829845528453,0.8831066657376471,14,6,NA,TRUE
Clivina fossor,Pitfall10,0.9999999087063401,0,1,6,6,NA,TRUE
Clivina fossor,Pitfall8,0.8144549747186256,0.33339347937346886,0.9746998604423347,6,6,NA,TRUE
Clivina fossor,Pitfall6,0.6500214935338204,0.2509157843524402,0.9114929319473548,6,6,NA,TRUE
Clivina fossor,Pitfall4,0.2711866929694108,0.05401144881939736,0.7080256143471519,6,6,NA,TRUE
Clivina fossor,Pitfall2,0.10696086042590891,0.008061449660917042,0.6383553254364439,6,6,NA,TRUE
Clivina fossor,GPD,0.2869158378636787,0.061691034952406076,0.7111795276577102,6,6,NA,TRUE
Harpalus affinis,Pitfall10,0.9999967695357462,1.760371665196022e-99,1,21,6,NA,TRUE
Harpalus affinis,Pitfall8,0.9518518305819279,0.7257915377251687,0.9932730136830995,21,6,NA,TRUE
Harpalus affinis,Pitfall6,0.9524836002237818,0.7289464091421411,0.9933516253605654,21,6,NA,TRUE
Harpalus affinis,Pitfall4,0.9517169924388132,0.7250323943506998,0.9932591997527218,21,6,NA,TRUE
Harpalus affinis,Pitfall2,0.6133376912140625,0.3896046358220618,0.7976550463428057,21,6,NA,TRUE
Harpalus affinis,GPD,0.7594012630055303,0.5341666297402475,0.8967773841606892,21,6,NA,TRUE
Harpalus dimidiatus,Pitfall10,0.9999970825934229,7.202077989117258e-110,1,19,6,NA,TRUE
Harpalus dimidiatus,Pitfall8,0.8939287800644404,0.6604998014230395,0.9733384241447628,19,6,NA,TRUE
Harpalus dimidiatus,Pitfall6,0.8384199814749891,0.5993967434378277,0.9473541280965786,19,6,NA,TRUE
Harpalus dimidiatus,Pitfall4,0.7875095232456847,0.5510417128472539,0.9179697272851197,19,6,NA,TRUE
Harpalus dimidiatus,Pitfall2,0.5328357490358351,0.3135881365326385,0.7400949234832909,19,6,NA,TRUE
Harpalus dimidiatus,GPD,0.7967561280006082,0.5565466219412328,0.9245003788602454,19,6,NA,TRUE
Harpalus distinguendus,Pitfall10,0.9999768354697118,2.0945064224004678e-35,1,19,6,NA,TRUE
Harpalus distinguendus,Pitfall8,0.95188380153408,0.7211791817777887,0.9934344375390037,19,6,NA,TRUE
Harpalus distinguendus,Pitfall6,0.8419622003614056,0.6051858354911779,0.9487622348414163,19,6,NA,TRUE
Harpalus distinguendus,Pitfall4,0.8110666279607534,0.5792766431987258,0.930481346297439,19,6,NA,TRUE
Harpalus distinguendus,Pitfall2,0.5203565328811182,0.2958238178612018,0.7369559956314067,19,6,NA,TRUE
Harpalus distinguendus,GPD,0.7523279582166744,0.5181653918070884,0.8956164548018097,19,6,NA,TRUE
Harpalus rubripes,Pitfall10,0.9999999618128884,0,1,10,6,NA,TRUE
Harpalus rubripes,Pitfall8,0.9039277551665807,0.5404572593756051,0.986889108165706,10,6,NA,TRUE
Harpalus rubripes,Pitfall6,0.8003120868287136,0.4594591486854279,0.949741601112965,10,6,NA,TRUE
Harpalus rubripes,Pitfall4,0.70799651973885,0.3826337476775633,0.904627338217018,10,6,NA,TRUE
Harpalus rubripes,Pitfall2,0.6187289497535198,0.3041091035424126,0.8576759521212513,10,6,NA,TRUE
Harpalus rubripes,GPD,0.7181034498176867,0.3827679033288034,0.9127722013321552,10,6,NA,TRUE
Harpalus tardus,Pitfall10,0.9999989231784525,4.7220232714328185e-252,1,7,6,NA,TRUE
Harpalus tardus,Pitfall8,0.9999989768245017,4.025014759846325e-267,1,7,6,NA,TRUE
Harpalus tardus,Pitfall6,0.8800134083835469,0.4461001573554715,0.9852485807106727,7,6,NA,TRUE
Harpalus tardus,Pitfall4,0.635818818316863,0.24931375965007355,0.9017480353076167,7,6,NA,TRUE
Harpalus tardus,Pitfall2,0.33146490189640276,0.08206748104039355,0.7333034470830124,7,6,NA,TRUE
Harpalus tardus,GPD,0.8484256981518246,0.3867871795968711,0.9802654127241276,7,6,NA,TRUE
Loricera pilicornis,Pitfall10,0.9999965254874607,5.088027654703774e-112,1,15,6,NA,TRUE
Loricera pilicornis,Pitfall8,0.9999974259843958,1.634705002052108e-131,1,15,6,NA,TRUE
Loricera pilicornis,Pitfall6,0.9999982632581808,6.753850056310867e-163,1,15,6,NA,TRUE
Loricera pilicornis,Pitfall4,0.8711006026215551,0.5991977185446851,0.9683031251401232,15,6,NA,TRUE
Loricera pilicornis,Pitfall2,0.677922188940925,0.40968972920452107,0.8645640862924179,15,6,NA,TRUE
Loricera pilicornis,GPD,0.7331957548785499,0.46648543052712604,0.8962332018463299,15,6,NA,TRUE
Microlestes,Pitfall10,0.9999981102596183,1.9875169526953928e-231,1,7,6,NA,TRUE
Microlestes,Pitfall8,0.8546238200800655,0.4111271442620891,0.9801981836764756,7,6,NA,TRUE
Microlestes,Pitfall6,0.569640981135405,0.22803152691419296,0.8557256157234209,7,6,NA,TRUE
Microlestes,Pitfall4,0.2830011688889852,0.07054595799031342,0.6724058514572847,7,6,NA,TRUE
Microlestes,Pitfall2,0.283397960223593,0.07080241446048967,0.6724068741871166,7,6,NA,TRUE
Microlestes,GPD,0.2752187914361697,0.060710308764879484,0.6904883876043467,7,6,NA,TRUE
Microlestes minutulus,Pitfall10,0.999992064514175,5.654181492543268e-133,1,6,6,NA,TRUE
Microlestes minutulus,Pitfall8,0.8114552074653008,0.3276497760155604,0.974364847254141,6,6,NA,TRUE
Microlestes minutulus,Pitfall6,0.6394039995960856,0.23928603414607744,0.9090553029319606,6,6,NA,TRUE
Microlestes minutulus,Pitfall4,0.10602323574954314,0.0081483845114795235,0.6312797331111892,6,6,NA,TRUE
Microlestes minutulus,Pitfall2,0.1075836160395166,0.009502224599270461,0.6023706766212474,6,6,NA,TRUE
Microlestes minutulus,GPD,0.2945239540248001,0.06576330138576592,0.7123127090681709,6,6,NA,TRUE
Nebria brevicollis,Pitfall10,0.9999835018072313,3.853754903111633e-41,1,19,6,NA,TRUE
Nebria brevicollis,Pitfall8,0.9999895524090389,9.394836498304221e-54,1,19,6,NA,TRUE
Nebria brevicollis,Pitfall6,0.9999945728111698,1.1727226403759833e-79,1,19,6,NA,TRUE
Nebria brevicollis,Pitfall4,0.8033038077614267,0.5684484857965385,0.9268053629576604,19,6,NA,TRUE
Nebria brevicollis,Pitfall2,0.4414704973425838,0.2379984407027666,0.6666988445264401,19,6,NA,TRUE
Nebria brevicollis,GPD,0.6629247253518445,0.426502306319258,0.8387350893854926,19,6,NA,TRUE
Nebria salina,Pitfall10,0.9999988685003802,9.88341751524094e-123,1,20,6,NA,TRUE
Nebria salina,Pitfall8,0.9701440761069986,0.7879928790768458,0.9964922041680008,20,6,NA,TRUE
Nebria salina,Pitfall6,0.8407335563172645,0.6172431382202473,0.9452943539625427,20,6,NA,TRUE
Nebria salina,Pitfall4,0.7979725425089216,0.5658894781160891,0.9228874692207437,20,6,NA,TRUE
Nebria salina,Pitfall2,0.5781899145612779,0.3496790801437857,0.7774979272203207,20,6,NA,TRUE
Nebria salina,GPD,0.7269225238064732,0.49482801379441094,0.8785550383016831,20,6,NA,TRUE
Notiophilus biguttatus,Pitfall10,0.9999954006473726,5.05389445830582e-112,1,14,6,NA,TRUE
Notiophilus biguttatus,Pitfall8,0.9999909983387086,4.439598657965308e-77,1,14,6,NA,TRUE
Notiophilus biguttatus,Pitfall6,0.9261830225172369,0.6166769338158872,0.9898842969668936,14,6,NA,TRUE
Notiophilus biguttatus,Pitfall4,0.6678877454594973,0.37625846657721096,0.8702028983908758,14,6,NA,TRUE
Notiophilus biguttatus,Pitfall2,0.31588411085366186,0.11581978219816506,0.6194281397367623,14,6,NA,TRUE
Notiophilus biguttatus,GPD,0.5917841990875209,0.3148824487096427,0.8205507324403895,14,6,NA,TRUE
Notiophilus quadripunctatus,Pitfall10,0.9999975717330712,9.613683930395709e-112,1,21,6,NA,TRUE
Notiophilus quadripunctatus,Pitfall8,0.9999984066656386,3.267188775852583e-139,1,21,6,NA,TRUE
Notiophilus quadripunctatus,Pitfall6,0.952892288319792,0.7297525558242091,0.9934437770284575,21,6,NA,TRUE
Notiophilus quadripunctatus,Pitfall4,0.723802418229962,0.5008452354056301,0.8725196553443545,21,6,NA,TRUE
Notiophilus quadripunctatus,Pitfall2,0.5833166662726317,0.36853356128919446,0.7705324846277998,21,6,NA,TRUE
Notiophilus quadripunctatus,GPD,0.7285694117074047,0.504771519205527,0.8760631758018879,21,6,NA,TRUE
Notiophilus rufipes,Pitfall10,0.9999917748780833,2.351635266880491e-110,1,7,6,NA,TRUE
Notiophilus rufipes,Pitfall8,0.8530679192384509,0.4084222910178505,0.9799294857922115,7,6,NA,TRUE
Notiophilus rufipes,Pitfall6,0.7449240211766798,0.3534966452699423,0.9397519604018439,7,6,NA,TRUE
Notiophilus rufipes,Pitfall4,0.29683914856739,0.074137300937458,0.6899780367969814,7,6,NA,TRUE
Notiophilus rufipes,Pitfall2,0.11184304146539917,0.012271237554633318,0.5607104789713347,7,6,NA,TRUE
Notiophilus rufipes,GPD,0.34794736821878985,0.09274513935272982,0.7358326672519282,7,6,NA,TRUE
Notiophilus substriatus,Pitfall10,0.9999997726159515,0,1,17,6,NA,TRUE
Notiophilus substriatus,Pitfall8,0.8844856686495669,0.6357674540287607,0.971088638007088,17,6,NA,TRUE
Notiophilus substriatus,Pitfall6,0.883618728961825,0.6341002918718486,0.9708144104050598,17,6,NA,TRUE
Notiophilus substriatus,Pitfall4,0.7134735372585225,0.4648028348599578,0.8771431993658347,17,6,NA,TRUE
Notiophilus substriatus,Pitfall2,0.5489284471988811,0.3109426808776521,0.7664548028765975,17,6,NA,TRUE
Notiophilus substriatus,GPD,0.7178747459423599,0.4671113612188809,0.8807585103966676,17,6,NA,TRUE
Parophonus maculicornis,Pitfall10,0.9999975553602833,7.934673982235925e-172,1,12,6,NA,TRUE
Parophonus maculicornis,Pitfall8,0.7990805814696917,0.45900995731101335,0.9490900214821942,12,6,NA,TRUE
Parophonus maculicornis,Pitfall6,0.5810315185336936,0.27800027367750885,0.8331920868461336,12,6,NA,TRUE
Parophonus maculicornis,Pitfall4,0.5067309935505608,0.2353294353457234,0.7742226091339479,12,6,NA,TRUE
Parophonus maculicornis,Pitfall2,0.28048474832606873,0.08823992521860281,0.610924650674461,12,6,NA,TRUE
Parophonus maculicornis,GPD,0.7586898615732498,0.44728834304726156,0.9243276088314666,12,6,NA,TRUE
Poecilus cupreus,Pitfall10,0.9999999999906246,0,1,39,6,NA,TRUE
Poecilus cupreus,Pitfall8,0.9999999629169232,0,1,39,6,NA,TRUE
Poecilus cupreus,Pitfall6,0.9897875901470435,0.9017192581950298,0.999024221150802,39,6,NA,TRUE
Poecilus cupreus,Pitfall4,0.9857403128571498,0.8982312014107662,0.9981563985410378,39,6,NA,TRUE
Poecilus cupreus,Pitfall2,0.9245169598647085,0.7990022052426915,0.9741852897661645,39,6,NA,TRUE
Poecilus cupreus,GPD,0.9833397745730378,0.8923402435646836,0.9976264435019366,39,6,NA,TRUE
Poecilus versicolor,Pitfall10,0.9999998927130687,0,1,13,6,NA,TRUE
Poecilus versicolor,Pitfall8,0.9999993489233681,9.423869807803681e-240,1,13,6,NA,TRUE
Poecilus versicolor,Pitfall6,0.8347201124270319,0.49535995489286977,0.9629407182630295,13,6,NA,TRUE
Poecilus versicolor,Pitfall4,0.8214213299505546,0.5040848982881525,0.9541599832050097,13,6,NA,TRUE
Poecilus versicolor,Pitfall2,0.8442706687450656,0.5082404318207646,0.966030839209352,13,6,NA,TRUE
Poecilus versicolor,GPD,0.8612469010474101,0.5669047130256935,0.9671415780095844,13,6,NA,TRUE
Pseudoophonus rufipes,Pitfall10,0.9999984654707701,2.5738890924605017e-234,1,9,6,NA,TRUE
Pseudoophonus rufipes,Pitfall8,0.9999987227162027,1.433407819757734e-256,1,9,6,NA,TRUE
Pseudoophonus rufipes,Pitfall6,0.8834470449739723,0.48393246446882016,0.9839404793277808,9,6,NA,TRUE
Pseudoophonus rufipes,Pitfall4,0.5250488107543958,0.2136147738999429,0.8181451455815891,9,6,NA,TRUE
Pseudoophonus rufipes,Pitfall2,0.3133359455135869,0.09715366489400427,0.659287339083673,9,6,NA,TRUE
Pseudoophonus rufipes,GPD,0.8862992575287669,0.4929023796673314,0.9842549950971955,9,6,NA,TRUE
Pterostichus madidus,Pitfall10,0.9999999032301725,0,1,15,6,NA,TRUE
Pterostichus madidus,Pitfall8,0.9999998786927581,0,1,15,6,NA,TRUE
Pterostichus madidus,Pitfall6,0.8894765982885442,0.6223080829617491,0.9751916901920462,15,6,NA,TRUE
Pterostichus madidus,Pitfall4,0.8343478433765908,0.5698326326198798,0.9503745404529819,15,6,NA,TRUE
Pterostichus madidus,Pitfall2,0.6127678759430151,0.34242531253688197,0.8278446913035111,15,6,NA,TRUE
Pterostichus madidus,GPD,0.8587437802024076,0.5699262843194949,0.9653850041102956,15,6,NA,TRUE
Pterostichus melanarius,Pitfall10,0.9999999562471397,0,1,8,6,NA,TRUE
Pterostichus melanarius,Pitfall8,0.9999999453663934,0,1,8,6,NA,TRUE
Pterostichus melanarius,Pitfall6,0.9999999925536698,0,1,8,6,NA,TRUE
Pterostichus melanarius,Pitfall4,0.9999999863410316,0,1,8,6,NA,TRUE
Pterostichus melanarius,Pitfall2,0.5159486446889818,0.17197782151286514,0.8454441866149499,8,6,NA,TRUE
Pterostichus melanarius,GPD,0.7581901298649997,0.37296193428780283,0.9429505681929173,8,6,NA,TRUE
Pterostichus strenuus,Pitfall10,0.9999996424162703,0,1,7,6,NA,TRUE
Pterostichus strenuus,Pitfall8,0.9999999458994873,0,1,7,6,NA,TRUE
Pterostichus strenuus,Pitfall6,0.8820489375895935,0.4424070389502657,0.9860104223642274,7,6,NA,TRUE
Pterostichus strenuus,Pitfall4,0.5380223408907059,0.19127046761811628,0.8515162620810217,7,6,NA,TRUE
Pterostichus strenuus,Pitfall2,0.3859875541825067,0.1085650875164865,0.7644192050372713,7,6,NA,TRUE
Pterostichus strenuus,GPD,0.13934555942177018,0.018047390168138035,0.5878463972751844,7,6,NA,TRUE
Pterostichus vernalis,Pitfall10,0.9999861953323593,1.1199921243246548e-86,1,6,6,NA,TRUE
Pterostichus vernalis,Pitfall8,0.9999918309730769,7.595533926048503e-113,1,6,6,NA,TRUE
Pterostichus vernalis,Pitfall6,0.8476356910433149,0.38324009368851225,0.9803179744206771,6,6,NA,TRUE
Pterostichus vernalis,Pitfall4,0.6655534486852148,0.2657212275901182,0.9162708442388072,6,6,NA,TRUE
Pterostichus vernalis,Pitfall2,0.31089175348944237,0.07104630495733559,0.7268739959907069,6,6,NA,TRUE
Pterostichus vernalis,GPD,0.6595509294851412,0.26033974486883543,0.9142596274121942,6,6,NA,TRUE
Syntomus foveatus,Pitfall10,0.9999999976846028,0,1,6,6,NA,TRUE
Syntomus foveatus,Pitfall8,0.9999999986841059,0,1,6,6,NA,TRUE
Syntomus foveatus,Pitfall6,0.9999999994193143,0,1,6,6,NA,TRUE
